Pin	AF0	AF1	AF2	AF3	AF4	AF5	AF6	AF7	AF8	AF9	AF10	AF11	AF12	AF13	AF14	AF15
PF7	-	-	-	TIM11_CH1	-	SPI5_SCK	SAI1_MCL/K_B	-	UART7_Tx	QUADSPI_BK1_IO2	-	-	-	-	-	EVENTOUT
PF8	-	-	-	-	-	SPI5_MISO	SAI1_SCK_B	-	UART7_RTS	TIM13_CH1	QUADSPI_BK1_IO0	-	-	-	-	EVENTOUT
PF9	-	-	-	-	-	SPI5_MOSI	SAI1_FS_B	-	UART7_CTS	TIM14_CH1	QUADSPI_BK1_IO1	-	-	-	-	EVENTOUT
PF10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EVENTOUT
PF11	-	-	-	-	-	SPI5_MOSI	-	-	-	-	SAI2_SD_B	-	FMC_SDNRAS	-	-	EVENTOUT
PF12	-	-	-	-	-	-	-	-	-	-	-	-	FMC_A6	-	-	EVENTOUT
PF13	-	-	-	-	-	-	-	-	-	-	-	-	FMC_A7	-	-	EVENTOUT
PF14	-	-	-	-	-	-	-	-	-	-	-	-	FMC_A8	-	-	EVENTOUT
PF15	-	-	-	-	-	-	-	-	-	-	-	-	FMC_A9	-	-	EVENTOUT
PG0	-	-	-	-	-	-	-	-	-	-	-	-	FMC_A10	-	-	EVENTOUT
PG1	-	-	-	-	-	-	-	-	-	-	-	-	FMC_A11	-	-	EVENTOUT
PG2	-	-	-	-	-	-	-	-	-	-	-	-	FMC_A12	-	-	EVENTOUT
PG3	-	-	-	-	-	-	-	-	-	-	-	-	FMC_A13	-	-	EVENTOUT
PG4	-	-	-	-	-	-	-	-	-	-	-	-	FMC_A14/FMC_BA0	-	-	EVENTOUT
PG5	-	-	-	-	-	-	-	-	-	-	-	-	FMC_A15/FMC_BA1	-	-	EVENTOUT
PG6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EVENTOUT
PG7	-	-	-	-	-	-	-	-	USART6_CK	-	-	-	FMC_INT	-	-	EVENTOUT
PG8	-	-	-	-	-	-	-	-	USART6_RTS	-	-	-	FMC_SDCLK	-	-	EVENTOUT
PG9	-	-	-	-	-	-	-	-	USART6_RX	QUADSPI_BK2_IO2	SAI2_FS_B	SDMMC2_D0	FMC_NE2/FMC_NCE	-	-	EVENTOUT
PG10	-	-	-	-	-	-	-	-	-	-	SAI2_SD_B	SDMMC2_D1	FMC_NE3	-	-	EVENTOUT
PG11	-	-	-	-	-	-	-	-	-	-	SDMMC2_D2	-	-	-	-	EVENTOUT
PG12	-	-	-	LPTIM1_IN1	-	-	-	-	USART6_RTS	-	-	SDMMC2_D3	FMC_NE4	-	-	EVENTOUT
PG13	TRACED0	-	-	LPTIM1_OUT	-	-	-	-	USART6_CTS	-	-	-	FMC_A24	-	-	EVENTOUT
PG14	TRACED1	-	-	LPTIM1_ETR	-	-	-	-	USART6_TX	QUADSPI_BK2_IO3	-	-	FMC_A25	-	-	EVENTOUT
PG15	-	-	-	-	-	-	-	-	USART6_CTS	-	-	-	FMC_SDNCAS	-	-	EVENTOUT
PH0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EVENTOUT
PH1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EVENTOUT
PH2	-	-	-	LPTIM1_IN2	-	-	-	-	-	QUADSPI_BK2_IO0	SAI2_SCK_B	-	FMC_SDCKE0	-	-	EVENTOUT
PH3	-	-	-	-	-	-	-	-	-	QUADSPI_BK2_IO1	SAI2_MCK_B	-	FMC_SDNE0	-	-	EVENTOUT
PH4	-	-	-	-	I2C2_SCL	-	-	-	-	-	OTG_HS_ULPI_NXT	-	-	-	-	EVENTOUT
PH5	-	-	-	-	I2C2_SDA	SPI5_NSS	-	-	-	-	-	-	FMC_SDNWE	-	-	EVENTOUT
PH6	-	-	-	-	I2C2_SMBA	SPI5_SCK	-	-	-	TIM12_CH1	-	-	FMC_SDNE1	-	-	EVENTOUT
PH7	-	-	-	-	I2C3_SCL	SPI5_MISO	-	-	-	-	-	-	FMC_SDCKE1	-	-	EVENTOUT
PH8	-	-	-	-	I2C3_SDA	-	-	-	-	-	-	-	FMC_D16	-	-	EVENTOUT
PH9	-	-	-	-	I2C3_SMB/A	-	-	-	-	TIM12_CH2	-	-	FMC_D17	-	-	EVENTOUT
PH10	-	-	TIM5_CH1	-	-	-	-	-	-	-	-	-	FMC_D18	-	-	EVENTOUT
PH11	-	-	TIM5_CH2	-	-	-	-	-	-	-	-	-	FMC_D19	-	-	EVENTOUT
PH12	-	-	TIM5_CH3	-	-	-	-	-	-	-	-	-	FMC_D20	-	-	EVENTOUT
PH13	-	-	-	TIM8_CH1N	-	-	-	-	UART4_TX	CAN1_TX	-	-	FMC_D21	-	-	EVENTOUT
PH14	-	-	-	TIM8_CH2N	-	-	-	-	UART4_RX	CAN1_RX	-	-	FMC_D22	-	-	EVENTOUT
PH15	-	-	-	TIM8_CH3N	-	-	-	-	-	-	-	-	FMC_D23	-	-	EVENTOUT
PI0	-	-	TIM5_CH4	-	-	SPI2_NSS/I2S2_WS	-	-	-	-	-	-	FMC_D24	-	-	EVENTOUT
PI1	-	-	-	TIM8_BKIN2	-	SPI2_SCK/I2S2_CK	-	-	-	-	-	-	FMC_D25	-	-	EVENTOUT
PI2	-	-	-	TIM8_CH4	-	SPI2_MIS/O	-	-	-	-	-	-	FMC_D26	-	-	EVENTOUT
PI3	-	-	-	TIM8_ETR	-	SPI2_MO/SI/I2S2_S/D	-	-	-	-	-	-	FMC_D27	-	-	EVENTOUT
PI4	-	-	-	TIM8_BKIN	-	-	-	-	-	-	SAI2_MCK_A	-	FMC_NBL/2	-	-	EVENTOUT
PI5	-	-	-	TIM8_CH1	-	-	-	-	-	-	SAI2_SCK_A	-	FMC_NBL/3	-	-	EVENTOUT
PI6	-	-	-	TIM8_CH2	-	-	-	-	-	-	SAI2_SD_A	-	FMC_D28	-	-	EVENTOUT
PI7	-	-	-	TIM8_CH3	-	-	-	-	-	-	SAI2_FS_A	-	FMC_D29	-	-	EVENTOUT
PI8	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EVENTOUT
PI9	-	-	-	-	-	-	-	-	UART4_RX	CAN1_RX	-	-	FMC_D30	-	-	EVENTOUT
PI10	-	-	-	-	-	-	-	-	-	-	-	-	FMC_D31	-	-	EVENTOUT
PI11	-	-	-	-	-	-	-	-	-	-	OTG_HS_UL/PI_DIR	-	-	-	-	EVENTOUT
PI12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EVENTOUT
PI13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EVENTOUT
PI14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EVENTOUT
PI15	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	EVENTOUT
