# AT32F435/437 — Function to Pin Mapping (IOMUX)
# Sources: Datasheet Table 8 + INAV timer_def_at32f43x.h
# MUX number = GPIO_MUX_n value for gpio_pin_mux_config()

Function                                 Pins
I2S3_SD                                  PA14(MUX6), PB0(MUX6), PB2(MUX6), PB5(MUX6), PC1(MUX6), PC12(MUX6), PD0(MUX6), PD6(MUX6)
I2S3_SDEXT                               PB4(MUX6), PC11(MUX6)
I2S3_WS                                  PA4(MUX6), PA15(MUX6)
I2S4_CK                                  PB7(MUX6), PB13(MUX6), PE2(MUX6), PE12(MUX6), PG11(MUX6)
I2S4_MCK                                 PA10(MUX6), PC8(MUX6)
I2S4_SD                                  PA1(MUX6), PB9(MUX6), PE6(MUX6), PE14(MUX6), PG13(MUX6)
I2S4_WS                                  PB6(MUX6), PB12(MUX6), PE4(MUX6), PE11(MUX6), PG14(MUX6)
IR_OUT                                   PA13(MUX0), PB9(MUX0)
JTCK                                     PA14(MUX0)
JTDI                                     PA15(MUX0)
JTDO                                     PB3(MUX0)
JTMS                                     PA13(MUX0)
OTGFS1_D                                 PA11(MUX10), PA12(MUX10)
OTGFS1_ID                                PA10(MUX10)
OTGFS1_OE                                PA13(MUX10)
OTGFS1_SOF                               PA8(MUX10)
OTGFS1_VBUS                              PA9(MUX10)
OTGFS2_D                                 PB14(MUX10), PB15(MUX10)
OTGFS2_ID                                PB12(MUX10)
OTGFS2_OE                                PC9(MUX10)
OTGFS2_SOF                               PA4(MUX10)
OTGFS2_VBUS                              PB13(MUX10)
QSPI1                                    PC10(MUX14), PD11(MUX14), PD12(MUX14)
QSPI1_CS                                 PB6(MUX14), PB9(MUX14), PB10(MUX14), PC11(MUX14), PG6(MUX14)
QSPI1_IO0                                PA6(MUX14), PB0(MUX14), PB11(MUX14), PC9(MUX14), PF8(MUX14), PH2(MUX14)
QSPI1_IO1                                PA7(MUX14), PB10(MUX14), PF9(MUX14), PH3(MUX14)
QSPI1_IO2                                PA15(MUX14), PC4(MUX14), PC8(MUX14), PE2(MUX14), PF7(MUX14), PG9(MUX14)
QSPI1_IO3                                PA1(MUX14), PB3(MUX14), PC5(MUX14), PD13(MUX14), PF6(MUX14), PG14(MUX14)
QSPI1_SCK                                PB1(MUX14), PB2(MUX14), PD3(MUX14), PF10(MUX14)
QSPI2                                    PA15(MUX14)
QSPI2_                                   PG14(MUX14)
QSPI2_CS                                 PB8(MUX14), PG8(MUX14)
QSPI2_IO0                                PB0(MUX14), PE7(MUX14)
QSPI2_IO1                                PB7(MUX14), PC3(MUX14), PE8(MUX14), PG12(MUX14)
QSPI2_IO2                                PA5(MUX14), PE9(MUX14), PG10(MUX14)
QSPI2_IO3                                PA3(MUX14), PE10(MUX14), PG11(MUX14)
QSPI2_SCK                                PB1(MUX14), PG13(MUX14)
SDIO1_CK                                 PB2(MUX12), PB15(MUX12), PC12(MUX12)
SDIO1_CMD                                PA6(MUX12), PD2(MUX12)
SDIO1_D0                                 PB4(MUX12), PB6(MUX12), PB7(MUX12), PC8(MUX12)
SDIO1_D1                                 PA8(MUX12), PB0(MUX12), PC9(MUX12)
SDIO1_D2                                 PA9(MUX12), PB1(MUX12), PC10(MUX12)
SDIO1_D3                                 PB5(MUX12), PC11(MUX12)
SDIO1_D4                                 PB8(MUX12)
SDIO1_D5                                 PB9(MUX12)
SDIO1_D6                                 PB14(MUX12), PC6(MUX12)
SDIO1_D7                                 PB10(MUX12), PC7(MUX12)
SDIO2_CK                                 PA2(MUX13), PC4(MUX13)
SDIO2_CMD                                PA3(MUX13), PC5(MUX13)
SDIO2_D0                                 PA4(MUX13), PC0(MUX13)
SDIO2_D1                                 PA5(MUX13), PC1(MUX13)
SDIO2_D2                                 PA6(MUX13), PC2(MUX13)
SDIO2_D3                                 PA7(MUX13), PC3(MUX13)
SDIO2_D4                                 PA4(MUX13)
SDIO2_D5                                 PA5(MUX13)
SDIO2_D6                                 PA6(MUX13)
SDIO2_D7                                 PA7(MUX13)
SPI1_CS                                  PA4(MUX5), PA15(MUX5), PE12(MUX5)
SPI1_MISO                                PA6(MUX5), PB4(MUX5), PE14(MUX5), PG0(MUX5)
SPI1_MOSI                                PA7(MUX5), PB5(MUX5), PE15(MUX5), PG1(MUX5)
SPI1_SCK                                 PA5(MUX5), PB3(MUX5), PE13(MUX5)
SPI2_CS                                  PA11(MUX5), PB9(MUX5), PB12(MUX5), PD0(MUX5), PD1(MUX5)
SPI2_MISO                                PA12(MUX5), PB14(MUX5), PC2(MUX5), PD3(MUX5)
SPI2_MOSI                                PA10(MUX5), PB15(MUX5), PC1(MUX5), PC3(MUX5), PD4(MUX5)
SPI2_SCK                                 PA9(MUX5), PB1(MUX5), PB10(MUX5), PB13(MUX5), PC7(MUX5), PD1(MUX5), PD3(MUX5)
SPI3_CS                                  PA4(MUX6), PA15(MUX6)
SPI3_MISO                                PA13(MUX6), PB4(MUX6), PC11(MUX6)
SPI3_MOSI                                PA14(MUX6), PB0(MUX6), PB2(MUX6), PB5(MUX6), PC1(MUX6), PC12(MUX6), PD0(MUX6), PD6(MUX6)
SPI3_SCK                                 PB3(MUX6), PB12(MUX6), PC10(MUX6)
SPI4_CS                                  PB6(MUX6), PB12(MUX6), PE4(MUX6), PE11(MUX6), PG14(MUX6)
SPI4_MISO                                PA11(MUX6), PB8(MUX6), PD0(MUX6), PE5(MUX6), PE13(MUX6), PG12(MUX6)
SPI4_MOSI                                PA1(MUX6), PB9(MUX6), PE6(MUX6), PE14(MUX6), PG13(MUX6)
SPI4_SCK                                 PB7(MUX6), PB13(MUX6), PE2(MUX6), PE12(MUX6), PG11(MUX6)
SWCLK                                    PA14(MUX0)
SWDIO                                    PA13(MUX0)
TMR10_CH1                                PB8(MUX3), PF6(MUX3)
TMR11_CH1                                PB9(MUX3), PC12(MUX3), PF7(MUX3)
TMR12_CH1                                PB14(MUX9)
TMR12_CH2                                PB15(MUX9)
TMR13_CH1                                PA6(MUX9), PF8(MUX9)
TMR14_CH1                                PA7(MUX9), PF9(MUX9)
TMR1_CH1                                 PA8(MUX1), PE9(MUX1)
TMR1_CH1C                                PA7(MUX1), PB13(MUX1), PE8(MUX1)
TMR1_CH1N                                PA7(MUX1), PB13(MUX1), PE8(MUX1)
TMR1_CH2                                 PA9(MUX1), PE11(MUX1)
TMR1_CH2C                                PB0(MUX1), PB14(MUX1), PE10(MUX1)
TMR1_CH2N                                PB0(MUX1), PB14(MUX1), PE10(MUX1)
TMR1_CH3                                 PA10(MUX1), PE13(MUX1)
TMR1_CH3C                                PB1(MUX1), PB15(MUX1), PE12(MUX1)
TMR1_CH3N                                PB1(MUX1), PB15(MUX1), PE12(MUX1)
TMR1_CH4                                 PA11(MUX1), PE14(MUX1)
TMR20_CH1                                PB2(MUX2), PE2(MUX6), PF12(MUX2)
TMR20_CH1C                               PE4(MUX6), PF4(MUX2), PG0(MUX2)
TMR20_CH1N                               PE4(MUX6), PF4(MUX2), PG0(MUX2)
TMR20_CH2                                PC2(MUX2), PE3(MUX6), PF13(MUX2)
TMR20_CH2C                               PE5(MUX6), PF5(MUX2), PG1(MUX2)
TMR20_CH2N                               PE5(MUX6), PF5(MUX2), PG1(MUX2)
TMR20_CH3                                PF2(MUX2), PF14(MUX2)
TMR20_CH3C                               PE6(MUX6), PG2(MUX2)
TMR20_CH3N                               PE6(MUX6), PG2(MUX2)
TMR20_CH4                                PE1(MUX6), PF3(MUX2), PF6(MUX2), PF15(MUX2)
TMR2_CH1                                 PA0(MUX1), PA5(MUX1), PA15(MUX1), PB8(MUX1)
TMR2_CH2                                 PA1(MUX1), PB3(MUX1), PB9(MUX1)
TMR2_CH3                                 PA2(MUX1), PB10(MUX1)
TMR2_CH4                                 PA3(MUX1), PB2(MUX1), PB11(MUX1)
TMR3_CH1                                 PA6(MUX2), PB4(MUX2), PC6(MUX2), PE3(MUX3)
TMR3_CH2                                 PA7(MUX2), PB5(MUX2), PC7(MUX2), PE4(MUX3)
TMR3_CH3                                 PB0(MUX2), PC8(MUX2), PE5(MUX3)
TMR3_CH4                                 PB1(MUX2), PC9(MUX2), PE6(MUX3)
TMR4_CH1                                 PB6(MUX2), PD12(MUX2)
TMR4_CH2                                 PB7(MUX2), PD13(MUX2)
TMR4_CH3                                 PB8(MUX2), PD14(MUX2)
TMR4_CH4                                 PB9(MUX2), PD15(MUX2)
TMR5_CH1                                 PA0(MUX2), PB12(MUX2), PH2(MUX2)
TMR5_CH2                                 PA1(MUX2), PC10(MUX2), PH3(MUX2)
TMR5_CH3                                 PA2(MUX2), PC11(MUX2)
TMR5_CH4                                 PA3(MUX2), PB11(MUX2), PF10(MUX2)
TMR8_CH1                                 PC6(MUX3)
TMR8_CH1C                                PA5(MUX3), PA7(MUX3)
TMR8_CH1N                                PA5(MUX3), PA7(MUX3)
TMR8_CH2                                 PC7(MUX3)
TMR8_CH2C                                PB0(MUX3), PB14(MUX3)
TMR8_CH2N                                PB0(MUX3), PB14(MUX3)
TMR8_CH3                                 PC8(MUX3)
TMR8_CH3C                                PB1(MUX3), PB15(MUX3)
TMR8_CH3N                                PB1(MUX3), PB15(MUX3)
TMR8_CH4                                 PC9(MUX3)
TMR9_CH1                                 PA2(MUX3), PC4(MUX3), PE5(MUX3)
TMR9_CH2                                 PA3(MUX3), PC5(MUX3), PE6(MUX3)
UART4_RX                                 PA1(MUX8), PC11(MUX8), PE9(MUX8), PH2(MUX8)
UART4_TX                                 PA0(MUX8), PC10(MUX8), PE8(MUX8), PH3(MUX8)
UART5_RX                                 PB5(MUX8), PB8(MUX8), PD2(MUX8), PE11(MUX8)
UART5_TX                                 PB6(MUX8), PB9(MUX8), PC12(MUX8), PE10(MUX8)
UART7_RX                                 PB3(MUX8), PC1(MUX8), PE7(MUX8), PF6(MUX8)
UART7_TX                                 PB4(MUX8), PC0(MUX8), PE8(MUX8), PF7(MUX8)
UART8_RX                                 PC3(MUX8), PC9(MUX8), PD14(MUX8), PE0(MUX8)
UART8_TX                                 PC2(MUX8), PC8(MUX8), PD13(MUX8), PE1(MUX8)
USART1_CK                                PA8(MUX7), PB5(MUX7)
USART1_CTS                               PA11(MUX7)
USART1_RTS_DE                            PA12(MUX7)
USART1_RX                                PA10(MUX7), PB3(MUX7), PB7(MUX7)
USART1_TX                                PA9(MUX7), PA15(MUX7), PB6(MUX7)
USART2_CK                                PA4(MUX7), PD7(MUX7)
USART2_CTS                               PA0(MUX7), PD3(MUX7)
USART2_RTS_DE                            PA1(MUX7), PD4(MUX7)
USART2_RX                                PA3(MUX7), PA15(MUX7), PB0(MUX7), PD6(MUX7)
USART2_TX                                PA2(MUX7), PA8(MUX7), PA14(MUX7), PD5(MUX7)
USART3_CK                                PB0(MUX7), PB12(MUX7), PC12(MUX7), PD10(MUX7)
USART3_CTS                               PA6(MUX7), PB13(MUX7), PD11(MUX7)
USART3_RTS_DE                            PB1(MUX7), PB14(MUX7), PD2(MUX7), PD12(MUX7)
USART3_RX                                PB11(MUX7), PC5(MUX7), PC11(MUX7), PD9(MUX7)
USART3_TX                                PB10(MUX7), PC4(MUX7), PC10(MUX7), PD8(MUX7)
USART6_CK                                PC8(MUX8), PG7(MUX8)
USART6_CTS                               PG13(MUX8), PG15(MUX8)
USART6_RTS_DE                            PG8(MUX8), PG12(MUX8)
USART6_RX                                PA5(MUX8), PA12(MUX8), PC7(MUX8), PG9(MUX8)
USART6_TX                                PA4(MUX8), PA11(MUX8), PC6(MUX8), PG14(MUX8)
