Pin	MUX0	MUX1	MUX2	MUX3	MUX4	MUX5	MUX6	MUX7	MUX8	MUX9	MUX10	MUX11	MUX12	MUX13	MUX14	MUX15
PA14	JTCK/SWCLK	-	-	-	-	-	I2S3_SD/SPI3_MOSI	USART2_TX	-	-	-	-	-	-	-	-
PA15	JTDI	TMR2_CH1	-	-	-	I2S1_WS/SPI1_CS	I2S3_WS/SPI3_CS	USART1_TX/USART2_RX	-	-	-	-	-	-	QSPI1_IO2/QSPI2	-
PB0	-	TMR1_CH2C/TMR1_CH2N	TMR3_CH3	TMR8_CH2C/TMR8_CH2N	-	I2S1_MCK	I2S3_SD/SPI3_MOSI	USART2_RX/USART3_CK	-	-	-	EMAC_MII_RXD2	SDIO1_D1	-	QSPI1_IO0/QSPI2_IO0	-
PB1	-	TMR1_CH3C/TMR1_CH3N	TMR3_CH4	TMR8_CH3C/TMR8_CH3N	-	I2S2_CK/SPI2_SCK	-	USART3_RTS_DE	-	-	-	EMAC_MII_RXD3	SDIO1_D2	-	QSPI1_SCK/QSPI2_SCK	-
PB2	-	TMR2_CH4	TMR20_CH1	-	I2C3_SMBA	-	I2S3_SD/SPI3_MOSI	-	-	-	-	-	SDIO1_CK	-	QSPI1_SCK	-
PB3	JTDO	TMR2_CH2	-	-	I2C2_SDA	I2S1_CK/SPI1_SCK	I2S3_CK/SPI3_SCK	USART1_RX	UART7_RX	-	-	-	-	DVP_D4	QSPI1_IO3	-
PB4	-	-	TMR3_CH1	-	I2C3_SDA	SPI1_MISO	I2S3_SDEXT/SPI3_MISO	-	UART7_TX	-	-	-	SDIO1_D0	DVP_D5	-	-
PB5	-	-	TMR3_CH2	-	I2C1_SMBA	I2S1_SD/SPI1_MOSI	I2S3_SD/SPI3_MOSI	USART1_CK	UART5_RX	CAN2_RX	-	EMAC_PPS_OUT	SDIO1_D3	DVP_D10	-	-
PB6	-	-	TMR4_CH1	-	I2C1_SCL	I2S1_MCK	I2S4_WS/SPI4_CS	USART1_TX	UART5_TX	CAN2_TX	-	-	SDIO1_D0	DVP_D5	QSPI1_CS	-
PB7	-	-	TMR4_CH2	-	I2C1_SDA	-	I2S4_CK/SPI4_SCK	USART1_RX	-	-	-	-	SDIO1_D0	DVP_VSYNC	QSPI2_IO1	-
PB8	-	TMR2_CH1	TMR4_CH3	TMR10_CH1	I2C1_SCL	-	SPI4_MISO	-	UART5_RX	CAN1_RX	-	EMAC_MII_TXD3	SDIO1_D4	DVP_D6	QSPI2_CS	-
PB9	IR_OUT	TMR2_CH2	TMR4_CH4	TMR11_CH1	I2C1_SDA/I2C2_SDA	I2S2_WS/SPI2_CS	I2S4_SD/SPI4_MOSI	-	UART5_TX	CAN1_TX	-	-	SDIO1_D5	DVP_D7	QSPI1_CS	-
PB10	-	TMR2_CH3	-	-	I2C2_SCL	I2S2_CK/SPI2_SCK	I2S3_MCK	USART3_TX	-	-	-	EMAC_MII_RX_ER	SDIO1_D7	-	QSPI1_CS/QSPI1_IO1	-
PB11	-	TMR2_CH4	TMR5_CH4	-	I2C2_SDA	-	-	USART3_RX	-	-	-	EMAC_MII_TX_EN/EMAC_RMII_TX_EN	-	-	QSPI1_IO0	-
PB12	-	-	TMR5_CH1	-	I2C2_SMBA	I2S2_WS/SPI2_CS	I2S3_CK/I2S4_WS/SPI3_SCK/SPI4_CS	USART3_CK	-	CAN2_RX	OTGFS2_ID	EMAC_MII_TXD0/EMAC_RMII_TXD0	-	-	-	-
PB13	-	TMR1_CH1C/TMR1_CH1N	-	-	I2C3_SCL/I2C3_SMBA	I2S2_CK/SPI2_SCK	I2S4_CK/SPI4_SCK	USART3_CTS	-	CAN2_TX	OTGFS2_VBUS	EMAC_MII_TXD1/EMAC_RMII_TXD1	-	-	-	-
PB14	-	TMR1_CH2C/TMR1_CH2N	-	TMR8_CH2C/TMR8_CH2N	I2C3_SDA	I2S2_SDEXT/SPI2_MISO	-	USART3_RTS_DE	-	TMR12_CH1	OTGFS2_D	-	SDIO1_D6	-	-	-
PB15	-	TMR1_CH3C/TMR1_CH3N	-	TMR8_CH3C/TMR8_CH3N	I2C3_SCL	I2S2_SD/SPI2_MOSI	-	-	-	TMR12_CH2	OTGFS2_D	-	SDIO1_CK	-	-	-
PC0	-	-	-	-	I2C3_SCL	-	-	-	UART7_TX	-	-	-	-	SDIO2_D0	-	-
PC1	-	-	-	-	I2C3_SDA	I2S2_SD/SPI2_MOSI	I2S3_SD/SPI3_MOSI	-	UART7_RX	-	-	EMAC_MDC	-	SDIO2_D1	-	-
PC2	-	-	TMR20_CH2	-	-	I2S2_SDEXT/SPI2_MISO	-	-	UART8_TX	-	-	EMAC_MII_TXD2	-	SDIO2_D2	-	-
PC3	-	-	-	-	-	I2S2_SD/SPI2_MOSI	-	-	UART8_RX	-	-	EMAC_MII_TX_CLK	-	SDIO2_D3	QSPI2_IO1	-
PC4	-	-	-	TMR9_CH1	-	I2S1_MCK	-	USART3_TX	-	-	-	EMAC_MII_RXD0/EMAC_RMII_RXD0	-	SDIO2_CK	QSPI1_IO2	-
PC5	-	-	-	TMR9_CH2	I2C1_SMBA	-	-	USART3_RX	-	-	-	EMAC_MII_RXD1/EMAC_RMII_RXD1	-	SDIO2_CMD	QSPI1_IO3	-
PC6	-	-	TMR3_CH1	TMR8_CH1	I2C1_SCL	I2S2_MCK	-	-	USART6_TX	-	-	-	SDIO1_D6	DVP_D0	-	-
PC7	-	-	TMR3_CH2	TMR8_CH2	I2C1_SDA	I2S2_CK/SPI2_SCK	I2S3_MCK	-	USART6_RX	-	-	-	SDIO1_D7	DVP_D1	-	-
PC8	-	-	TMR3_CH3	TMR8_CH3	-	-	I2S4_MCK	-	UART8_TX/USART6_CK	-	-	-	SDIO1_D0	DVP_D2	QSPI1_IO2	-
PC9	CLKOUT2	-	TMR3_CH4	TMR8_CH4	I2C3_SDA	-	-	-	UART8_RX	-	OTGFS2_OE	-	SDIO1_D1	DVP_D3	QSPI1_IO0	-
PC10	-	-	TMR5_CH2	-	-	-	I2S3_CK/SPI3_SCK	USART3_TX	UART4_TX	-	-	-	SDIO1_D2	DVP_D8	QSPI1	-
PC11	-	-	TMR5_CH3	-	-	-	I2S3_SDEXT/SPI3_MISO	USART3_RX	UART4_RX	-	-	-	SDIO1_D3	DVP_D4	QSPI1_CS	-
PC12	-	-	-	TMR11_CH1	I2C2_SDA	-	I2S3_SD/SPI3_MOSI	USART3_CK	UART5_TX	-	-	-	SDIO1_CK	DVP_D9	-	-
PD0	-	-	-	-	-	I2S2_WS/SPI2_CS	I2S3_SD/SPI3_MOSI/SPI4_MISO	-	-	CAN1_RX	-	-	-	-	-	-
PD1	-	-	-	-	-	I2S2_CK/I2S2_WS/SPI2_CS/SPI2_SCK	-	-	-	CAN1_TX	-	-	-	-	-	-
PD2	-	-	-	-	-	-	-	USART3_RTS_DE	UART5_RX	-	-	-	SDIO1_CMD	DVP_D11	-	-
PD3	-	-	-	-	-	I2S2_CK/SPI2_MISO/SPI2_SCK	-	USART2_CTS	-	-	-	-	-	DVP_D5	QSPI1_SCK	-
PD4	-	-	-	-	-	I2S2_SD/SPI2_MOSI	-	USART2_RTS_DE	-	-	-	-	-	-	-	-
PD5	-	-	-	-	-	-	-	USART2_TX	-	-	-	-	-	-	-	-
PD6	-	-	-	-	-	-	I2S3_SD/SPI3_MOSI	USART2_RX	-	-	-	-	-	DVP_D10	-	-
PD7	-	-	-	-	-	-	-	USART2_CK	-	-	-	-	-	-	-	-
PD8	-	-	-	-	-	-	-	USART3_TX	-	-	-	EMAC_MII_RX_DV/EMAC_RMII_CRS_DV	-	-	-	-
PD9	-	-	-	-	-	-	-	USART3_RX	-	-	-	EMAC_MII_RXD0	-	-	-	-
PD10	-	-	-	-	-	-	-	USART3_CK	-	-	-	EMAC_MII_RXD1/EMAC_RMII_RXD1	-	-	-	-
PD11	-	-	-	-	I2C2_SMBA	-	-	USART3_CTS	-	-	-	EMAC_MII_RXD2	-	-	QSPI1	-
PD12	-	-	TMR4_CH1	-	I2C2_SCL	-	-	USART3_RTS_DE	-	-	-	EMAC_MII_RXD3	-	-	QSPI1	-
PD13	-	-	TMR4_CH2	-	I2C2_SDA	-	-	-	UART8_TX	-	-	-	-	-	QSPI1_IO3	-
PD14	-	-	TMR4_CH3	-	I2C3_SCL	-	-	-	UART8_RX	-	-	-	-	-	-	-
PD15	-	-	TMR4_CH4	-	I2C3_SDA	-	-	-	-	-	-	-	-	-	-	-
PE0	-	-	-	-	-	-	-	-	UART8_RX	-	-	-	-	DVP_D2	-	-
PE1	-	-	-	-	-	-	TMR20_CH4	-	UART8_TX	-	-	-	-	DVP_D3	-	-
PE2	-	-	-	-	-	-	I2S4_CK/SPI4_SCK/TMR20_CH1	-	-	-	-	EMAC_MII_TXD3	-	-	QSPI1_IO2	-
PE3	-	-	-	TMR3_CH1	-	-	TMR20_CH2	-	-	-	-	-	-	DVP_D9	-	-
PE4	CLKOUT1	-	-	TMR3_CH2	-	-	I2S4_WS/SPI4_CS/TMR20_CH1C/TMR20_CH1N	-	-	-	-	-	-	DVP_D4	-	-
PE5	-	-	-	TMR3_CH3/TMR9_CH1	-	-	SPI4_MISO/TMR20_CH2C/TMR20_CH2N	-	-	-	-	-	-	DVP_D6	-	-
PE6	-	-	-	TMR3_CH4/TMR9_CH2	-	-	I2S4_SD/SPI4_MOSI/TMR20_CH3C/TMR20_CH3N	-	-	-	-	-	-	DVP_D7	-	-
PE7	-	-	-	-	-	-	-	-	UART7_RX	-	-	-	-	-	QSPI2_IO0	-
PE8	-	TMR1_CH1C/TMR1_CH1N	-	-	-	-	-	-	UART4_TX/UART7_TX	-	-	-	-	-	QSPI2_IO1	-
PE9	-	TMR1_CH1	-	-	-	-	-	-	UART4_RX	-	-	-	-	-	QSPI2_IO2	-
PE10	-	TMR1_CH2C/TMR1_CH2N	-	-	-	-	-	-	UART5_TX	-	-	-	-	-	QSPI2_IO3	-
PE11	-	TMR1_CH2	-	-	-	-	I2S4_WS/SPI4_CS	-	UART5_RX	-	-	-	-	-	-	-
PE12	-	TMR1_CH3C/TMR1_CH3N	-	-	-	I2S1_WS/SPI1_CS	I2S4_CK/SPI4_SCK	-	-	-	-	-	-	-	-	-
PE13	-	TMR1_CH3	-	-	-	I2S1_CK/SPI1_SCK	SPI4_MISO	-	-	-	-	-	-	-	-	-
PE14	-	TMR1_CH4	-	-	-	SPI1_MISO	I2S4_SD/SPI4_MOSI	-	-	-	-	-	-	-	-	-
PE15	-	-	-	-	-	I2S1_SD/SPI1_MOSI	-	-	-	-	-	-	-	-	-	-
PF0	-	-	-	-	I2C2_SDA	-	-	-	-	-	-	-	-	-	-	-
PF1	-	-	-	-	I2C2_SCL	-	-	-	-	-	-	-	-	-	-	-
PF2	-	-	TMR20_CH3	-	I2C2_SMBA	-	-	-	-	-	-	-	-	-	-	-
PF3	-	-	TMR20_CH4	-	-	-	-	-	-	-	-	-	-	-	-	-
PF4	-	-	TMR20_CH1C/TMR20_CH1N	-	-	-	-	-	-	-	-	-	-	-	-	-
PF5	-	-	TMR20_CH2C/TMR20_CH2N	-	-	-	-	-	-	-	-	-	-	-	-	-
PF6	-	-	TMR20_CH4	TMR10_CH1	-	-	-	-	UART7_RX	-	-	-	-	-	QSPI1_IO3	-
PF7	-	-	-	TMR11_CH1	-	-	-	-	UART7_TX	-	-	-	-	-	QSPI1_IO2	-
PF8	-	-	-	-	-	-	-	-	-	TMR13_CH1	-	-	-	-	QSPI1_IO0	-
PF9	-	-	-	-	-	-	-	-	-	TMR14_CH1	-	-	-	-	QSPI1_IO1	-
PF10	-	-	TMR5_CH4	-	-	-	-	-	-	-	-	-	-	DVP_D11	QSPI1_SCK	-
PF11	-	-	-	-	-	-	-	-	-	-	-	-	-	DVP_D12	-	-
PF12	-	-	TMR20_CH1	-	-	-	-	-	-	-	-	-	-	-	-	-
PF13	-	-	TMR20_CH2	-	I2C3_SMBA	-	-	-	-	-	-	-	-	-	-	-
PF14	-	-	TMR20_CH3	-	I2C3_SCL	-	-	-	-	-	-	-	-	-	-	-
PF15	-	-	TMR20_CH4	-	I2C3_SDA	-	-	-	-	-	-	-	-	-	-	-
PG0	-	-	TMR20_CH1C/TMR20_CH1N	-	-	SPI1_MISO	-	-	-	CAN1_RX	-	-	-	-	-	-
PG1	-	-	TMR20_CH2C/TMR20_CH2N	-	-	I2S1_SD/SPI1_MOSI	-	-	-	CAN1_TX	-	-	-	-	-	-
PG2	-	-	TMR20_CH3C/TMR20_CH3N	-	-	-	-	-	-	-	-	-	-	-	-	-
PG6	-	-	-	-	-	-	-	-	-	-	-	-	-	DVP_D12	QSPI1_CS	-
PG7	-	-	-	-	-	-	-	-	USART6_CK	-	-	-	-	DVP_D13	-	-
PG8	-	-	-	-	-	-	-	-	USART6_RTS_DE	-	-	EMAC_PPS_OUT	-	-	QSPI2_CS	-
PG9	-	-	-	-	-	-	-	-	USART6_RX	-	-	-	-	DVP_VSYNC	QSPI1_IO2	-
PG10	-	-	-	-	-	-	-	-	-	-	-	-	-	DVP_D2	QSPI2_IO2	-
PG11	-	-	-	-	-	-	I2S4_CK/SPI4_SCK	-	-	CAN2_RX	-	EMAC_MII_TX_EN/EMAC_RMII_TX_EN	-	DVP_D3	QSPI2_IO3	-
PG12	-	-	-	-	-	-	SPI4_MISO	-	USART6_RTS_DE	CAN2_TX	-	-	-	-	QSPI2_IO1	-
PG13	-	-	-	-	-	-	I2S4_SD/SPI4_MOSI	-	USART6_CTS	-	-	EMAC_MII_TXD0/EMAC_RMII_TXD0	-	-	QSPI2_SCK	-
PG14	-	-	-	-	-	-	I2S4_WS/SPI4_CS	-	USART6_TX	-	-	EMAC_MII_TXD1/EMAC_RMII_TXD1	-	-	QSPI1_IO3/QSPI2_	-
PG15	-	-	-	-	-	-	-	-	USART6_CTS	-	-	-	-	DVP_D13	-	-
PH0	-	-	-	-	I2C1_SDA	-	-	-	-	-	-	-	-	-	-	-
PH1	-	-	-	-	I2C1_SCL	-	-	-	-	-	-	-	-	-	-	-
PH2	-	-	TMR5_CH1	-	I2C2_SCL	-	-	-	UART4_RX	-	-	-	-	-	QSPI1_IO0	-
PH3	-	-	TMR5_CH2	-	I2C2_SDA	-	-	-	UART4_TX	-	-	-	-	-	QSPI1_IO1	-
