# STM32F765/F767/F768/F769 — Alternate Function to Pin Mapping
# Source: Table 13, DS11532 pages 89-106

Function                            Pins
DFSDM1_CKOUT                        PB0(AF6), PC2(AF6), PD3(AF3), PD10(AF3), PE9(AF6)
DFSDM1_DATAIN0                      PC1(AF3), PD3(AF6)
DFSDM1_DATAIN1                      PC3(AF3), PD6(AF10)
DFSDM1_DATAIN2                      PC5(AF3), PE7(AF6)
DFSDM1_DATAIN3                      PC7(AF7), PD9(AF3), PE4(AF10)
DFSDM1_DATAIN4                      PD7(AF3), PE10(AF6)
DFSDM1_DATAIN5                      PC11(AF3), PE12(AF6)
DFSDM1_DATAIN6                      PD1(AF3), PF13(AF6)
DFSDM1_DATAIN7                      PD0(AF6)
DFSDM1_DATIN1                       PB1(AF6), PB12(AF6)
DFSDM1_DATIN2                       PB14(AF6)
DFSDM1_DATIN4                       PC0(AF6)
DFSDM1_DATIN5                       PB6(AF6)
DFSDM1_DATIN7                       PB9(AF6), PB10(AF6)
DSI_TE                              PB11(AF13), PJ2(AF13)
ETH_MDC                             PC1(AF11)
ETH_MDIO                            PA2(AF11)
ETH_MII_COL                         PA3(AF11), PH3(AF11)
ETH_MII_CRS                         PA0(AF11), PH2(AF11)
ETH_MII_RXD0ET/H_RMII_RXD0          PC4(AF11)
ETH_MII_RXD1ET/H_RMII_RXD1          PC5(AF11)
ETH_MII_RXD2                        PB0(AF11), PH6(AF11)
ETH_MII_RXD3                        PB1(AF11), PH7(AF11)
ETH_MII_RX_CLKETH_RMI/I_REF_CLK     PA1(AF11)
ETH_MII_RX_DVE/TH_RMII_CRS_DV       PA7(AF11)
ETH_MII_RX_ER                       PB10(AF11), PI10(AF11)
ETH_MII_TXD0ET/H_RMII_TXD0          PB12(AF11), PG13(AF11)
ETH_MII_TXD1ET/H_RMII_TXD1          PB13(AF11), PG14(AF11)
ETH_MII_TXD2                        PC2(AF11)
ETH_MII_TXD3                        PB8(AF11), PE2(AF11)
ETH_MII_TX_CLK                      PC3(AF11)
ETH_MII_TX_ENE/TH_RMII_TX_EN        PB11(AF11), PG11(AF11)
ETH_PPS_OUT                         PB5(AF11), PG8(AF11)
EVENTOUT                            PA0(AF15), PA1(AF15), PA2(AF15), PA3(AF15), PA4(AF15), PA5(AF15), PA6(AF15), PA7(AF15), PA8(AF15), PA9(AF15), PA10(AF15), PA11(AF15), PA12(AF15), PA13(AF15), PA14(AF15), PA15(AF15), PB0(AF15), PB1(AF15), PB2(AF15), PB3(AF15), PB4(AF15), PB5(AF15), PB6(AF15), PB7(AF15), PB8(AF15), PB9(AF15), PB10(AF15), PB11(AF15), PB12(AF15), PB13(AF15), PB14(AF15), PB15(AF15), PC0(AF15), PC1(AF15), PC2(AF15), PC3(AF15), PC4(AF15), PC5(AF15), PC6(AF15), PC7(AF15), PC8(AF15), PC9(AF15), PC10(AF15), PC11(AF15), PC12(AF15), PC13(AF15), PC14(AF15), PC15(AF15), PD0(AF15), PD1(AF15), PD2(AF15), PD3(AF15), PD4(AF15), PD5(AF15), PD6(AF15), PD7(AF15), PD8(AF15), PD9(AF15), PD10(AF15), PD11(AF15), PD12(AF15), PD13(AF15), PD14(AF15), PD15(AF15), PE0(AF15), PE1(AF15), PE2(AF15), PE3(AF15), PE4(AF15), PE5(AF15), PE6(AF15), PE7(AF15), PE8(AF15), PE9(AF15), PE10(AF15), PE11(AF15), PE12(AF15), PE13(AF15), PE14(AF15), PE15(AF15), PF0(AF15), PF1(AF15), PF2(AF15), PF3(AF15), PF4(AF15), PF5(AF15), PF6(AF15), PF7(AF15), PF8(AF15), PF9(AF15), PF10(AF15), PF11(AF15), PF12(AF15), PF13(AF15), PF14(AF15), PF15(AF15), PG0(AF15), PG1(AF15), PG2(AF15), PG3(AF15), PG4(AF15), PG5(AF15), PG6(AF15), PG7(AF15), PG8(AF15), PG9(AF15), PG10(AF15), PG11(AF15), PG12(AF15), PG13(AF15), PG14(AF15), PG15(AF15), PH0(AF15), PH1(AF15), PH2(AF15), PH3(AF15), PH4(AF15), PH5(AF15), PH6(AF15), PH7(AF15), PH8(AF15), PH9(AF15), PH10(AF15), PH11(AF15), PH12(AF15), PH13(AF15), PH14(AF15), PH15(AF15), PI0(AF15), PI1(AF15), PI2(AF15), PI3(AF15), PI4(AF15), PI5(AF15), PI6(AF15), PI7(AF15), PI8(AF15), PI9(AF15), PI10(AF15), PI11(AF15), PI12(AF15), PI13(AF15), PI14(AF15), PI15(AF15), PJ0(AF15), PJ1(AF15), PJ2(AF15), PJ3(AF15), PJ4(AF15), PJ5(AF15), PJ6(AF15), PJ7(AF15), PJ8(AF15), PJ9(AF15), PJ10(AF15), PJ11(AF15), PJ12(AF15), PJ13(AF15), PJ14(AF15), PJ15(AF15), PK0(AF15), PK1(AF15), PK2(AF15), PK3(AF15), PK4(AF15), PK5(AF15), PK6(AF15), PK7(AF15)
FMC_A0                              PF0(AF12)
FMC_A1                              PF1(AF12)
FMC_A10                             PG0(AF12)
FMC_A11                             PG1(AF12)
FMC_A12                             PG2(AF12)
FMC_A13                             PG3(AF12)
FMC_A14/FMC_BA0                     PG4(AF12)
FMC_A15/FMC_BA1                     PG5(AF12)
FMC_A16/FMC_CLE                     PD11(AF12)
FMC_A17/FMC_ALE                     PD12(AF12)
FMC_A18                             PD13(AF12)
FMC_A19                             PE3(AF12)
FMC_A2                              PF2(AF12)
FMC_A20                             PE4(AF12)
FMC_A21                             PE5(AF12)
FMC_A22                             PE6(AF12)
FMC_A23                             PE2(AF12)
FMC_A24                             PG13(AF12)
FMC_A25                             PG14(AF12)
FMC_A3                              PF3(AF12)
FMC_A4                              PF4(AF12)
FMC_A5                              PF5(AF12)
FMC_A6                              PF12(AF12)
FMC_A7                              PF13(AF12)
FMC_A8                              PF14(AF12)
FMC_A9                              PF15(AF12)
FMC_CLK                             PD3(AF12)
FMC_D0                              PD14(AF12)
FMC_D1                              PD15(AF12)
FMC_D10                             PE13(AF12)
FMC_D11                             PE14(AF12)
FMC_D12                             PE15(AF12)
FMC_D13                             PD8(AF12)
FMC_D14                             PD9(AF12)
FMC_D15                             PD10(AF12)
FMC_D16                             PH8(AF12)
FMC_D17                             PH9(AF12)
FMC_D18                             PH10(AF12)
FMC_D19                             PH11(AF12)
FMC_D2                              PD0(AF12)
FMC_D20                             PH12(AF12)
FMC_D21                             PH13(AF12)
FMC_D22                             PH14(AF12)
FMC_D23                             PH15(AF12)
FMC_D24                             PI0(AF12)
FMC_D25                             PI1(AF12)
FMC_D26                             PI2(AF12)
FMC_D27                             PI3(AF12)
FMC_D28                             PI6(AF12)
FMC_D29                             PI7(AF12)
FMC_D3                              PD1(AF12)
FMC_D30                             PI9(AF12)
FMC_D31                             PI10(AF12)
FMC_D4                              PE7(AF12)
FMC_D5                              PE8(AF12)
FMC_D6                              PE9(AF12)
FMC_D7                              PE10(AF12)
FMC_D8                              PE11(AF12)
FMC_D9                              PE12(AF12)
FMC_INT                             PG7(AF12)
FMC_N/WAIT                          PD6(AF12)
FMC_NBL0                            PE0(AF12)
FMC_NBL1                            PE1(AF12)
FMC_NBL2                            PI4(AF12)
FMC_NBL3                            PI5(AF12)
FMC_NE1                             PC7(AF9), PD7(AF12)
FMC_NE2/FMC_NCE                     PC8(AF9), PG9(AF12)
FMC_NE3                             PG6(AF12), PG10(AF12)
FMC_NE4                             PG12(AF12)
FMC_NL                              PB7(AF12)
FMC_NOE                             PD4(AF12)
FMC_NWAIT                           PC6(AF9)
FMC_NWE                             PD5(AF12)
FMC_SD/CKE0                         PC3(AF12), PC5(AF12), PH2(AF12)
FMC_SD/CKE1                         PB5(AF12), PH7(AF12)
FMC_SD/NCAS                         PG15(AF12)
FMC_SD/NRAS                         PF11(AF12)
FMC_SDCLK                           PG8(AF12)
FMC_SDNE0                           PC2(AF12), PC4(AF12), PH3(AF12)
FMC_SDNE1                           PB6(AF12), PH6(AF12)
FMC_SDNWE                           PA7(AF12), PC0(AF12), PH5(AF12)
HDMI-CEC                            PA15(AF4), PB6(AF3)
I2C1_SCL                            PB6(AF4), PB8(AF4)
I2C1_SDA                            PB7(AF4), PB9(AF4)
I2C1_SMBA                           PB5(AF4)
I2C2_SCL                            PB10(AF4), PF1(AF4), PH4(AF4)
I2C2_SDA                            PB11(AF4), PF0(AF4), PH5(AF4)
I2C2_SMBA                           PB12(AF4), PF2(AF4), PH6(AF4)
I2C3_SCL                            PA8(AF4), PH7(AF4)
I2C3_SDA                            PC9(AF4), PH8(AF4)
I2C3_SMBA                           PA9(AF4), PH9(AF4)
I2C4_SCL                            PB6(AF11), PB8(AF1), PD12(AF4), PF14(AF4), PH11(AF4)
I2C4_SDA                            PB9(AF1), PD13(AF4), PF15(AF4), PH12(AF4)
I2C4_SMBA                           PB9(AF11), PD11(AF4), PF13(AF4), PH10(AF4)
I2S1_MCK                            PC4(AF5)
I2S2_MCK                            PC6(AF5)
I2S3_MCK                            PC7(AF6)
I2S4_SDA                            PB7(AF11)
I2S_CKIN                            PC9(AF5)
JTCK-SWCLK                          PA14(AF0)
JTDI                                PA15(AF0)
JTDO/T/RACES/WO                     PB3(AF0)
JTMS-SWDIO                          PA13(AF0)
LCD_B0                              PE4(AF14), PG14(AF14), PJ12(AF14)
LCD_B1                              PA10(AF14), PG12(AF14), PJ13(AF14)
LCD_B2                              PA3(AF9), PC9(AF14), PD6(AF14), PG10(AF14), PJ14(AF14)
LCD_B3                              PA8(AF13), PD10(AF14), PG11(AF14), PJ15(AF14)
LCD_B4                              PA10(AF9), PE12(AF14), PG12(AF9), PI4(AF14), PK3(AF14)
LCD_B5                              PA3(AF14), PI5(AF14), PK4(AF14)
LCD_B6                              PB8(AF14), PI6(AF14), PK5(AF14)
LCD_B7                              PB9(AF14), PI7(AF14), PK6(AF14)
LCD_CLK                             PE14(AF14), PG7(AF14), PI14(AF14)
LCD_DE                              PE13(AF14), PF10(AF14), PK7(AF14)
LCD_G0                              PB1(AF14), PE5(AF14), PJ7(AF14)
LCD_G1                              PB0(AF14), PE6(AF14), PJ8(AF14)
LCD_G2                              PA6(AF14), PH13(AF14), PI15(AF9), PJ9(AF14)
LCD_G3                              PC9(AF10), PE11(AF14), PG10(AF9), PH14(AF14), PJ10(AF14), PJ12(AF9)
LCD_G4                              PB10(AF14), PH4(AF14), PH15(AF14), PJ11(AF14), PJ13(AF9)
LCD_G5                              PB11(AF14), PH4(AF9), PI0(AF14), PK0(AF14)
LCD_G6                              PC7(AF14), PI1(AF14), PI11(AF9), PK1(AF14)
LCD_G7                              PB5(AF14), PD3(AF14), PG8(AF14), PI2(AF14), PK2(AF14)
LCD_HSYNC                           PC6(AF14), PI10(AF14), PI12(AF14)
LCD_R0                              PG13(AF14), PH2(AF14), PI15(AF14)
LCD_R1                              PA2(AF14), PH3(AF14), PJ0(AF14)
LCD_R2                              PA1(AF14), PC10(AF14), PH8(AF14), PJ1(AF14)
LCD_R3                              PB0(AF9), PH9(AF14), PJ2(AF14)
LCD_R4                              PA5(AF14), PA11(AF14), PH10(AF14), PJ3(AF14)
LCD_R5                              PA9(AF14), PA12(AF14), PC0(AF14), PH11(AF14), PJ4(AF14)
LCD_R6                              PA8(AF14), PB1(AF9), PH12(AF14), PJ5(AF14)
LCD_R7                              PE15(AF14), PG6(AF14), PJ0(AF9), PJ6(AF14)
LCD_VSYNC                           PA4(AF14), PI9(AF14), PI13(AF14)
LPTIM1_ETR                          PE0(AF3), PG14(AF3)
LPTIM1_IN1                          PD12(AF3), PG12(AF3)
LPTIM1_IN2                          PE1(AF3), PH2(AF3)
LPTIM1_OUT                          PD13(AF3), PG13(AF3)
MCO1                                PA8(AF0)
MCO2                                PC9(AF0)
MDIOS_MDC                           PA6(AF12), PC1(AF12)
MDIOS_MDIO                          PA2(AF12), PA10(AF12)
NJTRST                              PB4(AF0)
OTG_FS_DM                           PA11(AF10)
OTG_FS_DP                           PA12(AF10)
OTG_FS_ID                           PA10(AF10)
OTG_FS_SOF                          PA8(AF10)
OTG_HS_DM                           PB14(AF12)
OTG_HS_DP                           PB15(AF12)
OTG_HS_ID                           PB12(AF12)
OTG_HS_SOF                          PA4(AF12)
OTG_HS_ULPI_CK                      PA5(AF10)
OTG_HS_ULPI_D0                      PA3(AF10)
OTG_HS_ULPI_D1                      PB0(AF10)
OTG_HS_ULPI_D2                      PB1(AF10)
OTG_HS_ULPI_D3                      PB10(AF10)
OTG_HS_ULPI_D4                      PB11(AF10)
OTG_HS_ULPI_D5                      PB12(AF10)
OTG_HS_ULPI_D6                      PB13(AF10)
OTG_HS_ULPI_D7                      PB5(AF10)
OTG_HS_ULPI_DIR                     PC2(AF10), PI11(AF10)
OTG_HS_ULPI_NXT                     PC3(AF10), PH4(AF10)
OTG_HS_ULPI_STP                     PC0(AF10)
QUADSP/I_BK1_IO0                    PC9(AF9), PD11(AF9)
QUADSP/I_BK1_IO1                    PC10(AF9), PD12(AF9)
QUADSP/I_BK1_IO2                    PE2(AF9), PF7(AF9)
QUADSP/I_BK1_IO3                    PA1(AF9), PD13(AF9), PF6(AF9)
QUADSP/I_BK1_NCS                    PB10(AF9)
QUADSP/I_BK2_IO0                    PH2(AF9)
QUADSP/I_BK2_IO1                    PH3(AF9)
QUADSP/I_BK2_IO2                    PG9(AF9)
QUADSP/I_BK2_IO3                    PG14(AF9)
QUADSP/I_BK2_NCS                    PC11(AF9)
QUADSP/I_CLK                        PB2(AF9), PF10(AF9)
QUADSPI_BK1_IO0                     PF8(AF10)
QUADSPI_BK1_IO1                     PF9(AF10)
QUADSPI_BK1_NCS                     PB6(AF10)
QUADSPI_BK2_IO0                     PE7(AF10)
QUADSPI_BK2_IO1                     PE8(AF10)
QUADSPI_BK2_IO2                     PE9(AF10)
QUADSPI_BK2_IO3                     PE10(AF10)
RTC_REFIN                           PB15(AF0)
SAI1_FS_A                           PE4(AF6)
SAI1_FS_B                           PF9(AF6)
SAI1_MCLK_A                         PE2(AF6), PG7(AF6)
SAI1_MCLK_B                         PF7(AF6)
SAI1_SCK_A                          PE5(AF6)
SAI1_SCK_B                          PF8(AF6)
SAI1_SD_A                           PB2(AF6), PC1(AF6), PD6(AF6), PE6(AF6)
SAI1_SD_B                           PE3(AF6), PF6(AF6)
SAI2_FS_A                           PD12(AF10), PI7(AF10)
SAI2_FS_B                           PA12(AF8), PC0(AF8), PE13(AF10), PG9(AF10)
SAI2_MCK_A                          PE0(AF10), PI4(AF10)
SAI2_MCK_B                          PA1(AF10), PE6(AF10), PE14(AF10), PH3(AF10)
SAI2_SCK_A                          PD13(AF10), PI5(AF10)
SAI2_SCK_B                          PA2(AF8), PE12(AF10), PH2(AF10)
SAI2_SD_A                           PD11(AF10), PI6(AF10)
SAI2_SD_B                           PA0(AF10), PE11(AF10), PF11(AF10), PG10(AF10)
SDMMC2_CK                           PD6(AF11)
SDMMC2_CMD                          PD7(AF11)
SDMMC2_D0                           PB14(AF10), PG9(AF11)
SDMMC2_D1                           PB15(AF10), PG10(AF11)
SDMMC2_D2                           PB3(AF10), PG11(AF10)
SDMMC2_D3                           PB4(AF10), PG12(AF11)
SDMMC2_D4                           PB8(AF10)
SDMMC2_D5                           PB9(AF10)
SDMMC2_D6                           PC6(AF10)
SDMMC2_D7                           PC7(AF10)
SDMMC_CK                            PC12(AF12)
SDMMC_CMD                           PD2(AF12)
SDMMC_D0                            PC8(AF12)
SDMMC_D1                            PC9(AF12)
SDMMC_D2                            PC10(AF12)
SDMMC_D3                            PC11(AF12)
SDMMC_D4                            PB8(AF12)
SDMMC_D5                            PB9(AF12)
SDMMC_D6                            PC6(AF12)
SDMMC_D7                            PC7(AF12)
SPDIF_RX0                           PD7(AF8), PG11(AF7)
SPDIF_RX1                           PD8(AF8), PG12(AF7)
SPDIF_RX2                           PC4(AF8), PG8(AF7)
SPDIF_RX3                           PC5(AF8), PG9(AF7)
SPI1_MISO                           PA6(AF5), PB4(AF5), PG9(AF5)
SPI1_MOSI/I2S1_SD                   PA7(AF5), PB5(AF5), PD7(AF5)
SPI1_NSS/I2S1_WS                    PA4(AF5), PA15(AF5), PG10(AF5)
SPI1_SCK/I2S1_CK                    PA5(AF5), PB3(AF5), PG11(AF5)
SPI2_MISO                           PB14(AF5), PC2(AF5), PI2(AF5)
SPI2_MOSI/I2S2_SD                   PB15(AF5), PC1(AF5), PC3(AF5), PI3(AF5)
SPI2_NSS/I2S2_WS                    PA11(AF5), PB4(AF7), PB9(AF5), PB12(AF5), PI0(AF5)
SPI2_SCK/I2S2_CK                    PA9(AF5), PA12(AF5), PB10(AF5), PB13(AF5), PD3(AF5), PI1(AF5)
SPI3_MISO                           PB4(AF6), PC11(AF6)
SPI3_MOSI/I2S3_SD                   PB2(AF7), PB5(AF6), PC12(AF6), PD6(AF5)
SPI3_NSS/I2S3_WS                    PA4(AF6), PA15(AF6)
SPI3_SCK/I2S3_CK                    PB3(AF6), PC10(AF6)
SPI4_MISO                           PE5(AF5), PE13(AF5)
SPI4_MOSI                           PE6(AF5), PE14(AF5)
SPI4_NSS                            PE4(AF5), PE11(AF5)
SPI4_SCK                            PE2(AF5), PE12(AF5)
SPI5_MISO                           PF8(AF5), PH7(AF5)
SPI5_MOSI                           PF9(AF5), PF11(AF5)
SPI5_NSS                            PF6(AF5), PH5(AF5)
SPI5_SCK                            PF7(AF5), PH6(AF5)
SPI6_MISO                           PA6(AF8), PB4(AF8), PG12(AF5)
SPI6_MOSI                           PA7(AF8), PB5(AF8), PG14(AF5)
SPI6_NSS                            PA4(AF8), PA15(AF7), PG8(AF5)
SPI6_SCK                            PA5(AF8), PB3(AF8), PG13(AF5)
TIM10_CH1                           PB8(AF3), PF6(AF3)
TIM11_CH1                           PB9(AF3), PF7(AF3)
TIM12_CH1                           PB14(AF9), PH6(AF9)
TIM12_CH2                           PB15(AF9), PH9(AF9)
TIM13_CH1                           PA6(AF9), PF8(AF9)
TIM14_CH1                           PA7(AF9), PF9(AF9)
TIM1_B/KIN2                         PE6(AF1)
TIM1_BKIN                           PA6(AF1), PB12(AF1), PE15(AF1)
TIM1_CH1                            PA8(AF1), PE9(AF1)
TIM1_CH1N                           PA7(AF1), PB13(AF1), PE8(AF1)
TIM1_CH2                            PA9(AF1), PE11(AF1)
TIM1_CH2N                           PB0(AF1), PB14(AF1), PE10(AF1)
TIM1_CH3                            PA10(AF1), PE13(AF1)
TIM1_CH3N                           PB1(AF1), PB15(AF1), PE12(AF1)
TIM1_CH4                            PA11(AF1), PE14(AF1)
TIM1_ETR                            PA12(AF1), PE7(AF1)
TIM2_CH1/TIM2_ETR                   PA0(AF1), PA5(AF1), PA15(AF1)
TIM2_CH2                            PA1(AF1), PB3(AF1)
TIM2_CH3                            PA2(AF1), PB10(AF1)
TIM2_CH4                            PA3(AF1), PB11(AF1)
TIM3_CH1                            PA6(AF2), PB4(AF2), PC6(AF2)
TIM3_CH2                            PA7(AF2), PB5(AF2), PC7(AF2)
TIM3_CH3                            PB0(AF2), PC8(AF2)
TIM3_CH4                            PB1(AF2), PC9(AF2)
TIM3_ETR                            PD2(AF2)
TIM4_CH1                            PB6(AF2), PD12(AF2)
TIM4_CH2                            PB7(AF2), PD13(AF2)
TIM4_CH3                            PB8(AF2), PD14(AF2)
TIM4_CH4                            PB9(AF2), PD15(AF2)
TIM4_ETR                            PE0(AF2)
TIM5_CH1                            PA0(AF2), PH10(AF2)
TIM5_CH2                            PA1(AF2), PH11(AF2)
TIM5_CH3                            PA2(AF2), PH12(AF2)
TIM5_CH4                            PA3(AF2), PI0(AF2)
TIM8_BKIN                           PA6(AF3), PI4(AF3)
TIM8_BKIN2                          PA8(AF3), PI1(AF3)
TIM8_CH1                            PC6(AF3), PI5(AF3)
TIM8_CH1N                           PA5(AF3), PA7(AF3), PH13(AF3)
TIM8_CH2                            PC7(AF3), PI6(AF3)
TIM8_CH2N                           PB0(AF3), PB14(AF3), PH14(AF3)
TIM8_CH3                            PC8(AF3), PI7(AF3)
TIM8_CH3N                           PB1(AF3), PB15(AF3), PH15(AF3)
TIM8_CH4                            PC9(AF3), PI2(AF3)
TIM8_ETR                            PA0(AF3), PI3(AF3)
TIM9_CH1                            PA2(AF3), PE5(AF3)
TIM9_CH2                            PA3(AF3), PE6(AF3)
TRACEC/LK                           PE2(AF0)
TRACED/0                            PC1(AF0), PE3(AF0), PG13(AF0)
TRACED/1                            PC8(AF0), PE4(AF0), PG14(AF0)
TRACED/2                            PD2(AF0), PE5(AF0)
TRACED/3                            PC12(AF0), PE6(AF0)
UART4_CTS                           PB0(AF8), PB15(AF8)
UART4_RTS                           PA15(AF8), PB14(AF8)
UART4_RX                            PA1(AF8), PA11(AF6), PC11(AF8), PD0(AF8), PH14(AF8), PI9(AF8)
UART4_TX                            PA0(AF8), PA12(AF6), PC10(AF8), PD1(AF8), PH13(AF8)
UART5_CTS                           PC9(AF7)
UART5_RTS                           PC8(AF7)
UART5_RX                            PB5(AF1), PB8(AF7), PB12(AF8), PD2(AF8)
UART5_TX                            PB6(AF1), PB9(AF7), PB13(AF8), PC12(AF8)
UART7_CTS                           PE10(AF8), PF9(AF8)
UART7_RTS                           PE9(AF8), PF8(AF8)
UART7_RX                            PA8(AF12), PB3(AF12)
UART7_Rx                            PE7(AF8), PF6(AF8)
UART7_T/x                           PE8(AF8), PF7(AF8)
UART7_TX                            PA15(AF12), PB4(AF12)
UART8_CTS                           PD14(AF8)
UART8_RTS                           PD15(AF8)
UART8_Rx                            PE0(AF8)
UART8_T/x                           PE1(AF8)
USART1_CK                           PA8(AF7)
USART1_CTS                          PA11(AF7)
USART1_RTS                          PA12(AF7)
USART1_RX                           PA10(AF7), PB7(AF7), PB15(AF4)
USART1_TX                           PA9(AF7), PB6(AF7), PB14(AF4)
USART2_CK                           PA4(AF7), PD7(AF7)
USART2_CTS                          PA0(AF7), PD3(AF7)
USART2_RTS                          PA1(AF7), PD4(AF7)
USART2_RX                           PA3(AF7), PD6(AF7)
USART2_TX                           PA2(AF7), PD5(AF7)
USART3_CK                           PB12(AF7), PC12(AF7), PD10(AF7)
USART3_CTS                          PB13(AF7), PD11(AF7)
USART3_RTS                          PB14(AF7), PD12(AF7)
USART3_RX                           PB11(AF7), PC11(AF7), PD9(AF7)
USART3_TX                           PB10(AF7), PC10(AF7), PD8(AF7)
USART6_CK                           PC8(AF8), PG7(AF8)
USART6_CTS                          PG13(AF8), PG15(AF8)
USART6_RTS                          PG8(AF8), PG12(AF8)
USART6_RX                           PC7(AF8), PG9(AF8)
USART6_TX                           PC6(AF8), PG14(AF8)
